ticker,shortName,longName,symbol,exchange,quoteType,currency,sector,industry,fullTimeEmployees,regularMarketPrice,previousClose,open,dayLow,dayHigh,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageVolume,averageVolume10days,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,beta,trailingEps,forwardEps,dividendRate,dividendYield,payoutRatio,profitMargins,grossMargins,operatingMargins,ebitdaMargins,revenueGrowth,earningsGrowth,totalRevenue,ebitda,recommendationKey,recommendationMean
DASH,"DoorDash, Inc.","DoorDash, Inc.",DASH,NMS,EQUITY,USD,Consumer Cyclical,Internet Retail,23700.0,207.23,207.65,206.81,205.99,211.42,155.4,285.5,1921271,5405385,4259390,89315819520,88342822912.0,104.13567,33.898,9.404584,1.702,1.99,6.11334,,,0.0,0.0683,0.51429003,0.08009,0.08081,0.273,0.459,12634999808,1021000000,buy,1.61364
EA,Electronic Arts Inc.,Electronic Arts Inc.,EA,NMS,EQUITY,USD,Communication Services,Electronic Gaming & Multimedia,14500.0,204.0,204.38,204.23,203.89,204.27,115.3,204.89,1644702,1965739,1834490,51021651968,51817529344.0,59.130432,22.032427,8.477746,0.733,3.45,9.25908,0.76,0.37,0.2209,0.121429995,0.78787005,0.10875,0.21500999,-0.092,-0.514,7288000000,1567000064,hold,2.73913
EXC,Exelon Corporation,Exelon Corporation,EXC,NMS,EQUITY,USD,Utilities,Utilities - Regulated Electric,20014.0,44.06,44.6,44.23,43.415,44.5,39.47,48.51,6804749,7671503,8779620,44500041728,92909387776.0,15.792115,15.538926,1.5833544,0.556,2.79,2.83546,1.6,3.63,0.56630003,0.116009995,0.42286998,0.22177,0.33026,0.09,0.229,24316999680,8031000064,buy,2.45
FAST,Fastenal Company,Fastenal Company,FAST,NMS,EQUITY,USD,Industrials,Industrial Distribution,21602.0,43.89,44.78,44.74,43.84,44.91,35.305,50.63,8123720,7717259,11157860,50388242432,50553344000.0,40.266052,32.830173,12.777292,0.895,1.09,1.33688,0.9,2.05,0.8028,0.15345,0.45012,0.18955,0.22375,0.111,0.138,8200500224,1834899968,hold,2.78947
FER,Ferrovial SE,Ferrovial SE,FER,NMS,EQUITY,USD,Industrials,Engineering & Construction,22043.0,67.04,67.41,66.6,66.12,67.16,40.46,68.54,2179980,2334104,1520440,47932526592,57499832320.0,12.166968,46.237675,6.913768,0.774,5.51,1.4498999,1.05,1.56,0.1759,0.35993,0.87025,0.09644,0.14953,0.047,0.316,9349000192,1398000000,none,
FTNT,"Fortinet, Inc.","Fortinet, Inc.",FTNT,NMS,EQUITY,USD,Technology,Software - Infrastructure,15015.0,81.64,77.62,83.5,81.1,85.04,70.12,114.82,8278812,5920419,6810030,62557958144,58676830208.0,33.596706,27.771729,82.464645,1.069,2.43,2.93968,,,0.0,0.28584,0.80866,0.31648,0.33117,0.144,-0.114,6554699776,2170700032,hold,2.64286
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,GEHC,NMS,EQUITY,USD,Healthcare,Medical Devices,53000.0,79.77,81.89,81.26,79.58,81.81,57.65,94.8,2340872,3721444,4074620,36419952640,43302957056.0,16.515528,16.193796,3.6361563,1.229,4.83,4.92596,0.14,0.18,0.027999999,0.10945,0.40803,0.14213,0.17909999,0.058,-0.041,20245999616,3625999872,buy,1.95
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",GILD,NMS,EQUITY,USD,Healthcare,Drug Manufacturers - General,17600.0,135.93,131.14,131.26,131.0,136.3,93.1,136.3,10478229,7063726,7995540,168662876160,185012584448.0,21.041794,15.504767,7.8377438,0.349,6.46,8.76698,3.16,2.32,0.48610002,0.27882,0.78716004,0.45231,0.48599,0.03,1.43,29087000576,14136000512,buy,1.65517
HON,Honeywell International Inc.,Honeywell International Inc.,HON,NMS,EQUITY,USD,Industrials,Conglomerates,102000.0,221.46,222.54,221.97,220.59,223.32,169.04807,227.82281,2992324,4263940,5591950,149235187712,166430113792.0,23.360762,21.255175,8.378163,0.942,9.48,10.41911,4.58,2.07,0.4768,0.1507,0.36944,0.18505,0.24042,0.07,0.324,40669999104,9777999872,buy,2.12
IDXX,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc.",IDXX,NMS,EQUITY,USD,Healthcare,Diagnostics & Research,11000.0,693.85,691.05,689.82,687.46,698.04,356.14,769.98,227691,558750,442260,55511257088,56309641216.0,54.936657,47.73676,35.554703,1.672,12.63,14.53492,,,0.0,0.24654,0.6172,0.32106,0.34489,0.133,0.214,4167410944,1437280000,buy,2.2
